"","customer_id","monetary","frequency","lastpurchase","recency","rankr","rankf","rankm","totalrfm"
"1",1069,176.727272727273,11,2001-02-10,18,1,1,1,"1 1 1"
"2",1113,123.888888888889,18,2001-01-06,53,3,1,1,"3 1 1"
"3",1250,113.071428571429,14,2001-02-10,18,1,1,1,"1 1 1"
"4",1359,121.333333333333,3,2000-12-04,86,4,1,1,"4 1 1"
"5",1823,186.214285714286,14,2001-01-24,35,2,1,1,"2 1 1"
"6",2189,226.709677419355,62,2001-01-03,56,3,1,1,"3 1 1"
"7",3667,885.307692307692,13,2001-02-08,20,1,1,1,"1 1 1"
"8",4282,107.444444444444,9,2001-01-13,46,2,1,1,"2 1 1"
"9",4381,63.7272727272727,11,2000-11-18,102,5,1,1,"5 1 1"
"10",4947,93.4166666666667,36,2000-12-10,80,4,1,1,"4 1 1"
"11",4961,92.1666666666667,6,2001-02-05,23,1,1,1,"1 1 1"
"12",4978,106.304347826087,23,2001-01-22,37,2,1,1,"2 1 1"
"13",5241,91.7837837837838,37,2001-02-19,9,1,1,1,"1 1 1"
"14",5357,184,2,2001-01-24,35,2,1,1,"2 1 1"
"15",5517,74.3396226415094,106,2001-02-02,26,2,1,1,"2 1 1"
"16",6378,120.916666666667,12,2001-02-14,14,1,1,1,"1 1 1"
"17",6668,121.347826086957,46,2001-02-24,4,1,1,1,"1 1 1"
"18",6989,108.714285714286,14,2001-02-11,17,1,1,1,"1 1 1"
"19",7795,182.306451612903,62,2001-02-10,18,1,1,1,"1 1 1"
"20",8006,262,4,2001-02-22,6,1,1,1,"1 1 1"
"21",8198,312,4,2001-01-31,28,2,1,1,"2 1 1"
"22",9218,57.3125,16,2001-01-12,47,2,1,1,"2 1 1"
"23",10801,85.8505747126437,87,2001-02-26,2,1,1,1,"1 1 1"
"24",11099,55.5,2,2001-02-19,9,1,1,1,"1 1 1"
"25",11211,121.4,5,2000-12-20,70,3,1,1,"3 1 1"
